Quality,Angle,Distance,Time
20,219.40625,189.5,1.947158
18,220.671875,194.75,1.947219
17,222.9375,199.5,1.947279
17,224.6875,205,1.947338
19,226.453125,211,1.947397
18,228.21875,217.75,1.947456
16,229.96875,225,1.947516
18,230.046875,232.5,1.947576
16,232.515625,241,1.947635
16,234.015625,250.25,1.947695
17,235.015625,260.25,1.947755
16,236.375,271,1.947815
16,237.859375,284.25,1.947873
14,240.015625,297.75,1.947933
14,241.03125,313,1.947992
12,242.5,331,1.948051
14,243.859375,350.75,1.948109
12,245.390625,374,1.94817
11,247.171875,401.25,1.948229
11,248.4375,432,1.948289
11,249.984375,467.5,1.948348
11,251.5,512,1.948407
10,253.078125,564.75,1.948492
9,260.5,1108.75,1.948565
32,262.109375,1218.5,1.948627
32,263.921875,1217.25,1.948687
32,265.703125,1214.75,1.948748
32,267.453125,1213.5,1.948809
32,269.1875,1213.75,1.94887
32,270.953125,1214.75,1.94893
32,272.71875,1217.25,1.948991
32,274.515625,1222.5,1.949051
30,276.265625,1226.25,1.949113
30,278.09375,1233.5,1.949174
29,279.859375,1242,1.949234
29,281.625,1248,1.949295
29,283.390625,1260.25,1.949354
24,285.0625,1271.25,1.949414
29,286.90625,1286.25,1.949474
29,288.59375,1299.25,1.949536
29,290.40625,1318.25,1.949596
28,292.125,1333.5,1.949657
25,293.921875,1353.75,1.949717
25,295.640625,1373.75,1.949778
31,297.359375,1396.5,1.949838
26,299.0625,1423.75,1.949899
24,300.796875,1451.25,1.949959
29,302.546875,1478.75,1.950019
23,304.296875,1514,1.950079
23,306.015625,1549.75,1.950139
26,307.78125,1583.75,1.9502
25,309.484375,1628.25,1.950262
24,311.1875,1679.75,1.950322
22,312.96875,1725,1.950383
20,314.71875,1779.75,1.950443
22,316.4375,1840.25,1.950503
20,318.171875,1904,1.950563
19,319.921875,1977,1.950623
20,321.625,2063,1.950683
16,323.609375,2156.5,1.950743
16,325.34375,2252.5,1.950803
16,327.046875,2372.25,1.950863
13,328.828125,2509.25,1.950924
13,330.5625,2644.5,1.950984
13,332.3125,2823,1.951049
10,334.046875,3008,1.95111
9,335.796875,3242.5,1.951171
9,337.546875,3468.75,1.951231
18,339.3125,3671.5,1.95155
17,341.078125,3627.75,1.951625
18,342.859375,3604.25,1.951688
20,344.640625,3569,1.95175
19,346.53125,3549.25,1.951811
19,348.296875,3528.75,1.951872
19,350.09375,3519.25,1.990882
21,351.890625,3508.75,1.991044
20,353.65625,3489.75,1.991116
20,355.4375,3487.5,1.991177
20,357.21875,3483.5,1.991239
20,359,3488.75,1.991299
21,0.78125,3488.75,1.991358
19,2.578125,3490.25,1.991419
21,4.359375,3517,1.991478
21,6.125,3521.75,1.991536
19,7.921875,3537.5,1.991595
20,9.703125,3549.25,1.991654
20,11.53125,3572.75,1.991713
18,13.3125,3609.25,1.991774
18,15.125,3636.25,1.991833
15,16.875,3685.75,1.991892
10,18.703125,3404.75,1.991951
10,20.53125,3139.5,1.992011
13,22.34375,2916.75,1.992074
13,24.171875,2726.75,1.992134
14,25.984375,2568.25,1.992194
15,27.796875,2421.25,1.992255
14,29.65625,2296,1.992316
17,31.453125,2181.25,1.992375
18,33.265625,2076.25,1.992435
18,35.21875,1994.25,1.992495
17,37.03125,1915.75,1.992555
20,38.875,1840.5,1.992614
19,40.640625,1778.75,1.992673
23,42.484375,1723,1.992733
23,44.28125,1674,1.992793
25,46.171875,1621.5,1.992852
25,47.953125,1582,1.992912
24,49.765625,1540.25,1.992971
23,51.578125,1503,1.993032
24,53.40625,1469.75,1.993091
25,55.234375,1441,1.993151
28,57.0625,1407.75,1.99321
30,58.8125,1385.5,1.993269
26,60.65625,1364.5,1.993328
27,62.515625,1339.5,1.993387
29,64.3125,1320,1.993447
28,66.109375,1303.25,1.993507
29,67.921875,1287.25,1.993566
24,69.703125,1273,1.993626
29,71.5,1261.25,1.993686
28,73.3125,1248,1.993746
28,75.140625,1238.5,1.993804
30,76.90625,1230.25,1.993864
28,78.6875,1225.25,1.993925
31,80.53125,1218.5,1.993987
32,82.328125,1214,1.994047
32,84.203125,1212.25,1.994107
32,86.015625,1209.75,1.994167
32,87.875,1208.5,1.994227
32,89.6875,1211.25,1.994286
32,91.5,1211.5,1.994345
31,93.203125,1216,1.994404
11,95.15625,1168.5,1.994464
10,97.328125,895.5,1.994781
11,99.515625,739.75,1.99485
11,101.671875,623.75,1.994912
11,103.671875,539.25,1.994973
12,105.9375,475.75,1.995034
12,108.0625,424.25,1.995094
14,110.296875,382.75,1.995154
15,112.625,351.5,1.995213
17,114.375,322.75,1.995272
15,117.1875,300,1.995332
17,118.75,281.5,1.995391
18,120.78125,265,1.99545
19,124.265625,250.75,1.995509
18,124.9375,238.5,1.995569
18,128.609375,226.75,1.995628
19,130.421875,218,1.995688
20,132.21875,209.5,1.995747
21,134.015625,201.75,1.995807
20,135.1875,195,1.995867
23,137.609375,188.75,1.995926
22,139.5,183.25,1.995986
23,141.296875,178.75,1.996044
22,143.109375,174,1.996104
21,145.40625,169.5,1.996163
24,147.21875,166,1.996223
21,149.03125,162.5,1.996282
21,150.828125,159.75,1.996343
21,152.625,157,1.996403
24,154.4375,154.75,1.996461
23,156.25,152.5,1.99652
24,158.046875,150.75,1.996579
25,159.859375,149,1.996638
24,161.65625,147.5,1.996698
24,164.5625,146.5,1.996757
24,165.46875,145,1.996816
23,167.28125,144.25,1.996875
23,168.84375,143.75,1.996935
25,170.671875,143.25,1.996995
23,173.15625,142.75,1.997055
19,175.65625,142.5,1.997115
18,176.375,142.25,1.997174
22,178.203125,142.5,1.997234
22,180,142.75,1.997293
26,181.828125,143,1.997351
23,184.890625,143.75,1.99741
24,185.453125,144.25,1.997469
24,187.25,144.75,1.997529
22,189.0625,146,1.997589
23,190.890625,147,1.997648
21,192.703125,148.25,1.997708
22,194.515625,149.75,1.997768
20,196.328125,151.25,1.997827
20,198.15625,152.75,1.997887
23,199.96875,154.75,1.997947
24,201.78125,156.75,1.998006
21,203.59375,158.75,1.998065
21,205.421875,161.5,1.998202
22,207.21875,164.25,1.998281
21,209.046875,167,1.998342
20,210.96875,170.25,1.998453
20,212.28125,173.5,1.998515
18,214.125,177.25,1.998575
19,215.9375,181.25,1.998634
19,217.765625,185.5,1.998694
21,219.578125,190,1.998754
20,220.84375,195.25,1.998813
19,223.234375,200.25,1.998873
18,224.171875,206.25,1.998933
18,225.703125,212.25,1.998993
19,227.59375,219.75,1.999052
15,230.1875,226.75,1.999112
17,231.46875,235,1.999172
16,232.125,244.5,1.999231
14,233.953125,254,1.999291
15,236.5625,265,1.99935
13,236.828125,278,1.999409
16,238.453125,291,1.999468
16,240.546875,305.25,1.999527
16,241.71875,323.25,1.999587
13,243.296875,343.5,1.999646
14,245.0625,366.5,1.999705
12,246.390625,392,1.999764
11,248.15625,423,1.999824
12,249.4375,459.5,1.999883
10,251.140625,501.5,1.999942
10,252.65625,553.75,2.000003
10,257.34375,796,2.000062
10,258.875,928.75,2.000121
9,260.453125,1107.5,2.000181
32,262.203125,1218.25,2.000242
32,264,1215.25,2.000314
32,265.875,1214.5,2.000374
32,267.6875,1213.75,2.000434
32,269.5,1214,2.000494
32,271.296875,1215,2.000553
31,273.109375,1218.75,2.000612
31,274.921875,1222.75,2.000672
30,276.859375,1229.5,2.000732
29,278.65625,1237,2.000792
31,280.515625,1243,2.000852
30,282.296875,1253,2.000911
29,284.140625,1263.75,2.000971
24,285.96875,1276.75,2.001031
29,287.734375,1292.25,2.001091
28,289.5625,1309,2.001151
29,291.375,1325.25,2.00121
25,293.1875,1343.75,2.00127
26,295.03125,1367,2.001329
30,296.875,1390.25,2.001389
27,298.6875,1416.75,2.001449
25,300.375,1444,2.001509
29,302.15625,1476.5,2.001569
24,303.96875,1505.5,2.001629
24,305.75,1543.5,2.001689
24,307.546875,1585,2.001749
26,309.390625,1624.25,2.001808
24,311.1875,1678,2.001868
23,312.9375,1724.5,2.001927
20,314.765625,1780.25,2.001986
22,316.5625,1842.5,2.002046
19,318.359375,1906.75,2.002106
19,320.15625,1991.25,2.002166
18,321.953125,2074.5,2.002226
17,323.96875,2176.75,2.002286
16,325.75,2283.5,2.002346
15,327.546875,2407.75,2.002404
14,329.359375,2551,2.002464
14,331.1875,2708.25,2.002525
13,332.96875,2880.75,2.002585
11,334.796875,3087.75,2.002645
9,336.59375,3338.25,2.002704
17,340.25,3646.25,2.002765
18,342.0625,3609.75,2.002824
20,343.921875,3592,2.002883
19,345.75,3551.75,2.002943
20,347.703125,3538,2.003002
19,349.53125,3522.25,2.003062
20,351.375,3514.75,2.040638
20,353.25,3488,2.040801
20,355.0625,3484.75,2.040868
21,356.921875,3485.75,2.04093
20,358.78125,3488,2.040992
21,0.625,3485.75,2.041053
21,2.46875,3492,2.041113
22,4.296875,3513,2.041172
21,6.140625,3520.5,2.041231
19,8,3538,2.041289
20,9.84375,3554,2.041348
20,11.75,3588.25,2.041407
19,13.5625,3606.75,2.041469
17,15.4375,3641.25,2.041529
10,17.296875,3632.5,2.041589
9,19.15625,3332.5,2.04165
12,21.046875,3068.25,2.04171
13,22.921875,2860.25,2.041782
13,24.796875,2673.75,2.041845
13,26.671875,2510.5,2.041905
15,28.578125,2366.75,2.041965
15,30.484375,2240.5,2.042026
16,32.34375,2129.5,2.042086
18,34.203125,2036.5,2.042146
20,36.21875,1947,2.042206
19,38.0625,1871.75,2.042266
22,39.96875,1803.25,2.042326
22,41.828125,1739.5,2.042386
23,43.703125,1690,2.042446
23,45.59375,1630.75,2.042506
26,47.515625,1587.5,2.042566
23,49.359375,1551.5,2.042625
23,51.28125,1512,2.042686
28,53.125,1475.75,2.042745
25,55.03125,1442.75,2.042804
28,56.890625,1409,2.042864
30,58.796875,1385.5,2.042923
26,60.65625,1365,2.042983
27,62.46875,1339,2.043043
29,64.328125,1321.75,2.043102
28,66.28125,1302.75,2.043163
30,68.09375,1287,2.043222
24,70.015625,1272.25,2.043282
30,71.84375,1257.25,2.043342
30,73.6875,1246.75,2.043402
29,75.5625,1237.5,2.043462
29,77.375,1229.25,2.043521
32,79.34375,1221.25,2.04358
32,81.125,1218.25,2.04364
32,83.015625,1212.5,2.043698
32,84.9375,1209.5,2.043758
32,86.875,1209.25,2.043818
32,88.65625,1211.5,2.043877
32,90.578125,1211.5,2.043937
32,92.453125,1212.5,2.043997
32,94.265625,1217.25,2.044057
11,96.46875,982.25,2.044117
11,98.609375,789.25,2.044176
10,100.921875,661,2.044237
10,103.21875,561,2.044296
12,105.390625,490,2.044355
11,107.59375,435.5,2.044414
13,109.828125,390,2.044473
15,111.875,354.75,2.044533
16,114.25,325,2.044592
16,117.015625,302.5,2.044651
16,118.4375,282.25,2.044711
17,121.28125,265,2.04477
19,123.9375,251,2.044829
17,126.859375,238,2.044887
19,127.578125,226.25,2.044947
18,130.15625,217,2.045007
20,132.6875,208.75,2.045066
21,134.296875,200.75,2.045126
21,136.15625,194.25,2.045185
21,138.09375,187.75,2.045246
22,139.953125,182,2.045305
21,141.796875,177.25,2.045365
22,143.671875,172.5,2.045425
20,146.03125,168.5,2.045485
22,147.890625,164.5,2.045544
21,149.765625,161.5,2.045604
21,151.625,158.75,2.045663
22,153.484375,156,2.045722
23,155.359375,153.5,2.045782
23,157.21875,151.75,2.045841
24,159.078125,149.75,2.045901
21,160.9375,148.25,2.04596
24,162.96875,146.75,2.04602
26,164.84375,145.5,2.046079
24,166.71875,144.5,2.046138
24,168.59375,144,2.046198
25,170.46875,143.25,2.046256
23,172.34375,142.75,2.046315
22,174.21875,142.5,2.046375
19,176.09375,142.25,2.046435
22,177.96875,142.5,2.046494
23,179.84375,142.75,2.046556
27,181.71875,143,2.046616
21,183.59375,143.5,2.046676
25,185.46875,144.25,2.046735
25,187.3125,144.75,2.046794
24,189.1875,146,2.046854
24,191.96875,147,2.046912
24,192.9375,148.25,2.046972
22,194.796875,149.75,2.047031
23,196.671875,151.5,2.047091
23,198.546875,153,2.04715
21,200.421875,155,2.04745
22,202.296875,157.5,2.047516
22,204.15625,159.75,2.047578
22,206.03125,162.25,2.047638
22,207.90625,165.25,2.047698
22,209.765625,168.25,2.047759
20,211.75,171.5,2.047819
18,213.125,175.25,2.047877
20,215.015625,179,2.047936
19,216.890625,183.25,2.047996
19,218.765625,187.75,2.048056
20,220.640625,192.75,2.048116
17,222.515625,198.25,2.048175
19,224.15625,204.25,2.048236
19,226.28125,210.25,2.048295
18,228.15625,217,2.048354
17,230.046875,225,2.048413
17,231.921875,233.25,2.048473
15,232.125,242.5,2.048532
16,234.484375,252,2.048591
16,235.09375,264,2.048651
15,236.875,275.25,2.04871
17,239.0625,289.25,2.048768
15,240.109375,304.25,2.048827
16,241.84375,322.5,2.048929
14,243.3125,342.75,2.049069
13,245.078125,366.5,2.049135
12,246.65625,394.75,2.049198
11,248,426.5,2.049258
11,249.90625,463.25,2.049317
12,251.25,509.5,2.049378
10,253.0625,562.75,2.049436
10,254.546875,628.75,2.049497
9,256.171875,715,2.049557
10,257.84375,826.75,2.049617
9,259.40625,971,2.049677
9,261,1192.75,2.049739
32,262.90625,1220.75,2.049799
32,264.765625,1214.75,2.049859
32,266.625,1214,2.04992
32,268.46875,1213.75,2.049979
32,270.390625,1217,2.050039
32,272.21875,1219.5,2.050099
32,274.15625,1220.75,2.050159
30,275.984375,1226.25,2.050219
29,277.9375,1233.25,2.050279
29,279.8125,1239.5,2.050338
30,281.71875,1250,2.050401
29,283.5,1261.75,2.050461
24,285.4375,1272.75,2.050519
29,287.28125,1288.25,2.050579
28,289.140625,1306.75,2.050639
28,290.96875,1323.25,2.0507
27,292.921875,1339.25,2.05076
28,294.71875,1365.25,2.05082
31,296.5625,1386.25,2.050879
29,298.453125,1409,2.050939
25,300.21875,1442.5,2.050999
23,302.0625,1472,2.051059
24,303.9375,1505.25,2.05112
24,305.78125,1543.25,2.051179
26,307.6875,1581.75,2.05124
26,309.5,1627.5,2.051299
24,311.359375,1680,2.051358
22,313.1875,1728.75,2.051418
21,315.046875,1788,2.051478
21,316.859375,1854.5,2.051537
19,318.75,1926.25,2.051598
19,320.578125,2009.75,2.051657
17,322.421875,2095.5,2.051718
18,324.5,2207.75,2.051778
16,326.34375,2326.25,2.051837
16,328.203125,2452.25,2.051897
15,330.078125,2599.75,2.051958
12,331.921875,2771.5,2.052018
12,333.78125,2965,2.052078
10,335.625,3196.5,2.052137
10,337.46875,3471,2.052197
18,339.34375,3671,2.052257
17,341.234375,3629,2.052317
19,343.125,3598.75,2.052376
20,345.03125,3563,2.052436
19,346.984375,3543.5,2.052497
19,348.890625,3527.5,2.052557
19,350.796875,3515.25,2.089159
20,352.703125,3508.75,2.089321
21,354.59375,3489.25,2.089389
20,356.484375,3485.75,2.089451
22,358.359375,3488.75,2.089512
19,0.28125,3488,2.089573
22,2.15625,3506,2.089633
22,4.0625,3513.5,2.089692
20,5.953125,3523.5,2.08975
20,7.875,3536.25,2.089807
