Time,PosX,PosY,PosA,"PosCov[0,0]","PosCov[0,1]","PosCov[0,2]","PosCov[1,0]","PosCov[1,1]","PosCov[1,2]","PosCov[2,0]","PosCov[2,1]","PosCov[2,2]"
1.74,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.75,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.76,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.77,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.78,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.79,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.8,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.81,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.82,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.83,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.84,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.85,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.86,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.87,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.88,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.89,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.9,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.91,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.92,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.93,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.94,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.95,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.96,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.97,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.98,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.99,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
3.5,1212.825265,145.214968,1.532697199,0.191717888,0.171388294,6.51E-05,0.171388294,4.719365366,-5.00E-05,6.51E-05,-5.00E-05,0.00037739
4,1212.980532,145.3729564,1.532743026,0.153854469,0.249315754,5.09E-05,0.249315754,6.697705945,-5.17E-05,5.09E-05,-5.17E-05,0.000551801
4.5,1213.116379,145.8961542,1.533026169,0.150550402,0.737417479,3.00E-05,0.737417479,19.77799302,-0.000119115,3.00E-05,-0.000119115,0.001713798
5,1213.252226,146.4193521,1.533309312,0.147246335,1.225519203,9.04E-06,1.225519203,32.8582801,-0.00018654,9.04E-06,-0.00018654,0.002875796
5.5,1213.364205,146.4128949,1.533071008,0.150701754,1.503168079,1.10E-05,1.503168079,39.93473958,-0.000203013,1.10E-05,-0.000203013,0.003510729
6,1213.476184,146.4064377,1.532832703,0.154157173,1.780816954,1.30E-05,1.780816954,47.01119906,-0.000219486,1.30E-05,-0.000219486,0.004145662
6.5,1213.592981,145.7768538,1.533831271,0.129073833,1.414657875,1.29E-05,1.414657875,38.15472903,-0.000278934,1.29E-05,-0.000278934,0.003359432
7,1213.709778,145.1472699,1.534829839,0.103990492,1.048498797,1.29E-05,1.048498797,29.29825899,-0.000338381,1.29E-05,-0.000338381,0.002573202
7.5,1213.807927,145.5505548,1.534782084,0.138793752,2.084172175,1.20E-05,2.084172175,57.96189939,-0.000294471,1.20E-05,-0.000294471,0.005133693
8,1213.906077,145.9538397,1.534734328,0.173597012,3.119845552,1.12E-05,3.119845552,86.62553979,-0.000250561,1.12E-05,-0.000250561,0.007694184
8.5,1213.986883,145.8524104,1.534608317,0.124593703,1.90092481,1.38E-05,1.90092481,52.72273196,-0.000157227,1.38E-05,-0.000157227,0.004661757
9,1214.06769,145.7509812,1.534482306,0.075590393,0.682004067,1.65E-05,0.682004067,18.81992412,-6.39E-05,1.65E-05,-6.39E-05,0.00162933
9.5,1214.120446,145.5093276,1.534619765,0.075098554,0.770799196,1.55E-05,0.770799196,21.3265999,-1.33E-05,1.55E-05,-1.33E-05,0.001876121
10,1214.173203,145.2676741,1.534757224,0.074606715,0.859594325,1.45E-05,0.859594325,23.83327568,3.73E-05,1.45E-05,3.73E-05,0.002122911
10.5,1214.200054,144.7484252,1.533411545,0.060439309,0.551719096,1.47E-05,0.551719096,15.12015414,-1.08E-05,1.47E-05,-1.08E-05,0.001320116
11,1214.226905,144.2291762,1.532065866,0.046271902,0.243843867,1.49E-05,0.243843867,6.407032604,-5.89E-05,1.49E-05,-5.89E-05,0.00051732
11.5,1214.261357,145.5759086,1.532479199,0.066939002,0.83592176,1.21E-05,0.83592176,22.07540465,-3.81E-05,1.21E-05,-3.81E-05,0.001893384
12,1214.295809,146.9226409,1.532892532,0.087606101,1.427999653,9.26E-06,1.427999653,37.7437767,-1.72E-05,9.26E-06,-1.72E-05,0.003269449
12.5,1214.268309,146.1613428,1.533990894,0.072086824,1.078292591,-4.10E-09,1.078292591,29.06600559,-0.000184959,-4.10E-09,-0.000184959,0.002500386
13,1214.24081,145.4000448,1.535089255,0.056567546,0.72858553,-9.27E-06,0.72858553,20.38823448,-0.00035269,-9.27E-06,-0.00035269,0.001731323
